text,label
Google is best in world,positive
Simple Simple and works very well,positive
yeah !,positive
Only good for coc,neutral
Love it Fast and easy,positive
The pgup/pgdn preference doesn't work  and its backscroll doesn't play nicely with screen. I don't know what they changed from tge prior version  but it has broken my muscle memory and made it useless for tinyfugue under screen.,negative
Mhlamanzana Khangelani,positive
Arif I have not rating this app because it will not updated friends I will tell you about this app friends you tell me about play store,positive
Earth live wallpaper Beautiful,positive
Bhangar bogus,negative
Serving good :-),positive
Best available wifi fixer Works almost every time but i have to switch off mobile data to make it work - otherwise it doesn't solve wifi issue.,positive
The best compass application,positive
Simple Works as expected. Only glitch I've seen is that folder names are hidden.,positive
OPPO,positive
cant load the app My gadget is galaxy tab s and is on lolipop 5.0.2 version. Cant get this app to work. As soon i start a game it exit and goes back to my home screen. Please fix because i love this app. Thanks,negative
Ok Perfect,positive
Excellent Updates Simply works. MMS and SMS notifications work flawlessly.,positive
Does not work with .odt files As promoted by developer,negative
Great but... I miss all the functions of the old remote  like being able to adjust all my settings and creating setting shortcuts from my phone,neutral
Very better app than other apps,positive
Best app for photo fatch Best app for photo fatch,positive
0very good outstanding,positive
It's bakwaas,positive
When I launch this app  it only gives me the option to view the Storage Card - I'm looking to recover Internal Storage space and do not need to evaluate what is on the SD card. Using a MotoG 4G 16Gb with a 32Gb memory card  and Android 6.0.1 Will there be a version that is capabile of scanning and interacting with the internal device storage,negative
Good Cannot read kernel wakelocks. Apparently file cannot be read. Not sure if not rooting the phone is an issue.,positive
I asked a question previously and still waiting for your reply   ( the question is about   Having a option for Auto downloading Files. ) Try fixing   if can't at least reply .,neutral
Perfect! Has every feature you would wish for. I like how the app icon acts as a switch! Clever and so thoughtful.,positive
Work but .. Some epub files read with to many spases between sentences. When I open same file in another app   there is not such as problem.,negative
Superior Work,positive
Rad Works nicely  with or without a desktop PC.,positive
I hate it. To slow,negative
Utility losing its utility appearance Update now has smaller text and more white space. Thanks?,neutral
Please add Asus Zenfone 5 Please add Asus Zenfone 5 ya gan,negative
Kir,positive
Tank you so much. I am very excited and happy for finding this application.,positive
Didn't work It was able to write to an NFC tag  but when you attempt to read the tag it crashes.,negative
Indian app Good,positive
Superb !,positive
How do you even watch videos on this  overall I can't watch anything its crap. Please help,negative
slalu insuf mem  why? pdhl sdh delete byk applic,negative
Sharul Ahmed Advans Happy new year 2017  This year mai anybody always be happy I prey for anybody!,positive
Very useful Just switched to cm13 sultan ROM battery was outstanding but one game was lagging so used this and changed CPU to performance now the game works flawlessly as it did on other Roms.,positive
Thank u god,positive
Bring back the dark theme The new theme is very hard on the eyes  at least make it customisable,negative
Wtf why its not update,negative
Crashes on armor filter,neutral
Great app without the app android doesn't work,positive
It's an okay gallery app  when it works. I found that newly saved images don't display until one performs a manual refresh of the app first. Even then  sometimes an image won't display at all - instead I get a grey blank square where the image should be. Could also use some basic folder organisation functions. Hopefully these things will be addressed soon  because I like the simplicity of the app overall.,neutral
Great for analysing individual cores,positive
Really useful app. The best I've found so far,positive
Bad It was bad,negative
Pravin,positive
Fantastic Just one quarm; you need to tell the user to swipe in order to remove an extension  I spent way too long trying to figure that out .,positive
Incredible! NOT for people that have a hard time with computers This was amazing! It works 100%! I recommend learning about ROMs before trying to use this. You will need to follow directions perfectly or else it will not work. Use Astro to access your phone files.,positive
Good lockscreen but No security,negative
Very useful Thanks for dis free app. It is really good,positive
I'm dissatisfied when i open my telegram and there's a big ads that i can't even dismiss.what should i do,neutral
efficient,positive
Dubey,neutral
Totally awesome I love it except that sometimes I get screen overlay problems yet no screen filter app is installed,positive
I need help Asap I just installed the SMS backup+ on my Samsung phone. Now it looks like it erased my previous back up from my old samsung on my gmail account. Those backups are so important to me. Please help me in getting my old back up back.,neutral
Super eryyui Dukes,positive
Google This is important for android,positive
Good care of eyes Very good app for mobile.persons whose work continues on mobile their eyes are proctected from unnecessary light at night.....very good app install it.,positive
it is a life to an android phone,positive
Power Power house of the phone,positive
Hi all frend this nice,positive
Same Sea,neutral
Amazing GUD WORK,positive
Um... I don't know how to use it,negative
Very clean. This app does exactly what it's supposed to do and does it with a simple and easy to use interface. A must have for any device.,positive
Best game ever Pretty hard though,positive
simple anD sexy (best) 😀,positive
I hate this stupid app,negative
??? I haven't the faintest idea how to get started with this. I thought it was an add-on for the Google calendar.,negative
Siny,neutral
"It used to work  but now it says no bios On my old phone  in roughly 2013-14  (Samsung Rugby Smart  ICS CyanogenMod9)  I could load the bios and play SA1 at a minimalistic framerate. Now I get nothing. I have hope for the future  but at the moment  to quote Skwisgaar Skwigelf  """"""""""""""""""""""""""""""""This ams dildos""""""""""""""""""""""""""""""""""""",neutral
The best The best remote app I have ever seen. too simple to use. Keep it up,positive
Good game but There need to better chests and weapons im reLly good at game but half time only get to third floor were I die cus I talk to ghost and automatically gives me eith the pedrified rat which just deststoys me...so if u could can u make the be a accept or regect for the ghost qest plz,positive
List everything on my phone,negative
Why does this need manually to be updated ffs Google sort your OS out!,negative
Perfect Amazon,positive
"Does not count sms When using openwhisper signal app as default sms client  call meter does not count """"""""""""""""""""""""""""""""traditional"""""""""""""""""""""""""""""""" sms sent to non signal users. How can overcome this?""""",neutral
It's great I love it but it doesnt have some songs but other than that its awsome,positive
Nice concept The laucher's appearance is as good as I expected. But some commands aren't working on Lollipop  pls fix it. Great job,positive
Doesn't work?,negative
Help Can i can the order of my accounts? The one i use the mpst is at the bottom of the list.,negative
Good Works well last time but now it can't install.,positive
Hate the new home explore screen I really don't like the new home screen. When can you provide an option to charge it back to the previous one??????,neutral
Always need update. Can't use most of my apps,negative
Good There is everything in that!!!.amazing,positive
Great app Great app. Simple. Intuitive. Lightweight. Very useful when travelling keeping track,positive
//   Yay open source //   This is elegant.,positive
Would love to apply them. I'm using trebuchet but for some odd reason it won't give me the option to use as my launcher choice. Any suggestion's?,positive
Piracy,negative
If you like no frills simple beat player this one is great. I am looking so forward to experimenting with new tones though,positive
This app would be ruling if they had not left it non-functional for almost a year.,positive
Was good until this latest update... Now I can't connect. Great.,negative
Not bad Still learning how to use it.,positive
"Great but.. Better if there is a way to organize the other counters (say alphabetical  or the """"""""""""""""""""""""""""""""favorite"""""""""""""""""""""""""""""""" count is listed at the top)""""",positive
Coc Love it,positive
Max Normal,neutral
i like This application,positive
It help you found things,positive
Love it. Can't leave without it! It's a BIG HELP to me! I was having trouble with my browsers and now I don't have anymore trouble with my browsers !,positive
It takes too much internal storage and can't be moved to SD card,negative
Nic3,neutral
I like it I just like it,positive
No This was great up until I couldn't save so I tried again and restarted pokemon ALL over again after playing for ANOTHER 30 minutes I saved exited and came back to play again the next day but it either didn't save or wouldn't load the save so I deleted it.,negative
It gets disconnected quite often... So annoying when you really need to message,negative
I can't find the random button I just can't  why? :(,neutral
Pause not working,negative
There's no app like this and there never will   best app ever. No need to try it but use it it's way above other's league,positive
Your aggregation needs a far greater spectrum of political stance  there is a huge liberal bias  I mean you have fivethirtyeight  CNN  time magazine. If I wanted to read only propaganda I'll go to the DPRK website... Just find a larger spectrum of ideas  thats all,negative
Loved it would,positive
Natraj,negative
Invaluable for finding out where the juice went BBS has helped me numerous times in finding out which app is eating my battery and thus allowing me to fix it.,positive
It's is excellent Wahhhhhhh.....,positive
To many ads Had to get it to run another app suxs,negative
After updating  my phone started kernel panicking. So I just reinstalled a new ROM lmao.,positive
Its nice 😫 Good,neutral
good th I app is owssome,positive
it is better than ever hii guys you have up,positive
NPR National Public Radio is good; this app presents it superbly!,positive
RAM Consumption The only reason I don't give this great app a solid 5*  it's because of its constant 40mb+ background RAM consumption on my phone. I wish the app could be optimized to use less than that. Other than that  I have nothing to complain about  only congratulate.,positive
At We have used this app many times. It has worked very well.,positive
It is like drugs I can't let it go away! O,neutral
In the sidebar  it just shows the SD card and doesn't shows the internal phone storage. How can I access my internal phone storage while it isn't showing it?,positive
Lies. All lies. No good music and deleted all music from my phone. Do not recomend.,negative
Used to love (5 stars) this app. Since the android update I can't use the enter to tab from clue to clue. Very frustrating trying to move as it gets STUCK at the top of the clue list and won't let me tab without touching the screen. Did I say frustrating?,neutral
Useful app Useful and important app,positive
So so app that's as good as their mobile site. Its impossible to use the app to find older episodes of shows like fresh air. The mobile website won't even let you download shows. The biggest weakness of this app is that it won't take you to the website for the article where you might be able to access the links that don't show up in the app. This app is only useful for reading stuff that they push to it.,negative
I can send text  files of any kind with it. Wish could make calls though,neutral
Just what I wanted! Awesome app!,positive
AHH SUCKS... doesn't even give a a song,negative
Cannot send many files Cannot send PDF .apk etc through Bluetooth.....,neutral
Awesome app! Honestly I was looking for a good proxy and this is the one I found...I have been using this app ever since. Best proxy out there. Good job devs,positive
This app useful,positive
It is very good Fantastic,positive
S Shahnawazsm9260801,positive
Memang best,positive
I love it Very good app,positive
BEST CALLS' QUALITY EVER!! Very clear  no delays or echo 👍🏼 I Love it Amazing,positive
Not working with Deezer. Please verify.,positive
Amazing Great looking UI makes this better than SuperSU,positive
Still massive amounts of noise on the graph. How often is is logging anyway? It doesn't seem to be stated anywhere!,neutral
Every time ask update the app's,negative
true best amrzing,positive
fake security I saw my all contacts in My relatives telegram contacts. They even don't login from my phone and they don't even know them. somehow telegram transfer my contacts To my other telegram contacts. fix it,neutral
Very good Nice app B,negative
muy practico,positive
Misnamed Poor execution. Very little user control. All I wanted was to be able to float an image or two over another app or the desktop  the way floating notes and floating browsers do. This app just does whatever it wants. It should be named something else because it behaves more like a floating picture gallery or a screensaver app. Quite useless  in my opinion.,negative
Very Useful Nice App,positive
Best psp emulator!! ☺☺☺,positive
Doesn't quite have everything  but the fact that it doesn't blow through data while looking up rules more than compensates.,positive
I think It's great.,positive
Alright Could be better in loads of ways,neutral
There should be an app that has everything that all apps required,negative
Best Informative app ever....,positive
Pawan Good,positive
NOT bad,positive
"Awesome but needs improvement The app would be better if it had a """"""""""""""""""""""""""""""""fast scroll"""""""""""""""""""""""""""""""" feature in lists""""",neutral
Cool Nice App,positive
Was the perfect application Unfortunate that the api support has been revoked. Great job team.,positive
Easy kernel This app make change on kernel realy easy.. Thanks dev..,positive
Very heavy and unnecessary app This one is the most useless app in my cellphone It consumes a lot of space memory and battery. It shouldn't be compulsory to run Google apps by keeping this app.,negative
iCoffeeCat Top Shelf 😁,positive
It's 👌,positive
Great app I got all my favorite songs,positive
It's fine AVG detected it as malware... Weird,neutral
I really love the fact that I don't have to buy an IPad to use a flying app. Great job...just plug in your destination and hit Active.,positive
Used to be my fave app  now worse than ever. Non-functional since KitKat...still doesn't work on Nougat Gongs are all that play now.,negative
very good it is very good,positive
Search for tapions theme,positive
Crashes  all my game progress is wiped away  need to start afresh  every time. Worst App ever !!,negative
Good service Very good,positive
Please must read it and reply for same.Some popular games require number input e.g. Brain games .But this emulator doesn't support numbers input.Sorry to say that Shift + key is not working. So please add separate number keyboard for games. Thank you so much and have a nice day!,neutral
The best Quick settings toggle is a bliss,positive
I get it - sometimes it is necessary to update the software. OK. But why the hell can't we use OTHER APPS until the Play is updated? It is completely irresponsible as it renders the phone unusable for some time without any notification beforehand! Real life scenario - I was in the middle of nowhere checking in the hotel  I had my reservation code and other information in the mailbox. But guess what? I was not able to access the Gmail  because the Play Store was not up to date! So  in order to read one email I had to download 30MB+ update in place where was barely any mobile signal and almost no internet connection at all. Terrific work Google! People use their phones outside their homes and WiFi covered areas too.,negative
Badvapp not working in Kashmir,positive
OMG I Like This,negative
Best I like it,positive
It s nise,positive
thats good app,positive
"I love it Easy to activate it by long-press Home virtual button from any application. Easy to configure  I can add shortcuts  not only application. Moreover  no """"""""""""""""""""""""""""""""footprint""""""""""""""""""""""""""""""""  it doesn't stay in the memory to consume resources (battery  RAM  CPU  etc).""""",positive
This is perfect for my Nascar  football & other important documents.,positive
I think I should never have to update this app,negative
Great! Does what almost no the music app does. Downloads  plays and sets ringtones. Without lag.,positive
Great Music App Download Music Easier,positive
Great App but now there's a bug I love this app  but as of 10/27/14 I can't open anything. I need my puzzles back!!,positive
Loveit Superrr,positive
Gudu,positive
Simple direct right to the point! Love it,positive
Great app One of a kind. Try it  you'll love it!,positive
Best sms backup app Just what am looking for. Thanks developer.,positive
Simple and easy to use   simple for reboot device easily great applose for developer for simple and nice idea,positive
super exercise use it or lose it,positive
This app is very useful to me.,neutral
Too much updates required,negative
woww very nice love it,positive
Bekar app mb west Not found,negative
:) :o,positive
Very bad app I hate it,negative
It is useful......,positive
Useless apps Cant find signal WiFi,negative
Loved it Dead or alive crashig on game load. Intro is working how come/ solve it please thanks,positive
Why do other apps needed this app.This app unnecessarily occupy space in our cell phones and the mobile starts hanging,negative
5 to update agoogle play store is bad.oooooo!!!,positive
Can't Uninstall Cant remove it from the list of device administrators. As soon as i do that settings app crashes. Help?-Galaxy Note 5,neutral
My play store never works crctly. Using this i never cant install any app. It makes me anger,negative
Raju Khan,positive
Don't download its just a waste,negative
Please kabhi isko kharab na kre,positive
Perfect app! You can throw in almost any torrent client out there with ease and as a bonus it has support for reverse proxy as well!. For all of those that have set up their clients with ports other than the default  you can easily change the port that transdrone uses in the advanced settings. It's literally the first option!,positive
By far the best suited reader... Pdf  djvu  epub...... Excellent!!! 😘,positive
Ggh,positive
Really awesome app  but... I've been a user of this app for quite a while now  have a catalogue of over 700 books registered  and it's been awesome  however  with the most recent update  something went wrong. The thumbnail of the book cover shows up on the book list  and on the edit page for each book  but on the book details page  it only shows a single white pixel in the place where the cover should be. Every book in my catalogue is like this now. Is there a fix for this? Or is it a bug in the new version?,positive
Its aosome,positive
Muito bom Melhor que o whatsapp,positive
I think it's great but I can't wait for the day that Google creates a native  built in on screen text reader similar to Apple's reader. With it you can select text from any app or screen and select the speak option... I choose Android over iOS  but just that one feature alone is worth a lot,positive
JT Great!,positive
View leaderbord When i updated my moz stumbler ...then i see View leaderbord option does not work. and i don't see my points or leaderbord. Hope you guys as soon as possible solve this problem. Thank you.,neutral
easy to use and its easy to download and updates 😀😀😀,positive
Matches the curved edges on my Xperia Z The the corners do not work on the transparent navigation bar and the rounded corners are placed above the navigation bar making it look unpolished. Would love to see a fix to this problem,positive
Awan lang,positive
I can't space up my writing Everytime i put a space between words  it kept coming back together. So I can't write a thing  have explored all the setting but still can't fix this. Wasted 2 hours just looking for solution.,negative
About once a minute  the live stream (of any station) skips back 10 seconds. It's very irritating and I hope you will fix it,negative
Works great. The other app I was using doesn't properly show the channel widths. This one does and no bloat.,positive
Cant open menu!!! Plz fix the menu is not showing i have a galaxy s6,neutral
simple straightforward easy interface why didnt i download this years ago,positive
All the other psp emulators are just knockoffs based on the same engine. This is the best and the original.,positive
Incredible DOWNLOAD!!,positive
It alright Everything works on my phone when this is up to date The end Done Bye No seriously stop reading my stuff,positive
The all games This is a good game and the best thing is very interesting,positive
my phone has 4-core but it always work with 2 core (obviously by the kernel fault)  i want to make all of them work  can u help me plz (would be very pleasure if you help) (and i dont want to change any kernel  cause dis one still badass for me),positive
Best app Must have,positive
Encio afonsoewaencio2 Lilkoesa,positive
Situation Its good...but the speed is AWFUL please update cause I want to play Pok?mon Soul Silver.,negative
Good Only for VOC,positive
Works well... It works great. Bad reviews are written by those who don't know how to follow directions. I don't blame the developer for losing patience. It's a terrific app.,positive
Ummmmm nice,positive
Please introduce Timeline,positive
Hate Google Always causes problems with the internet and pc  tablet and phone but can't do anything because Verizon makes users lock it in,negative
Jayashree sathr,negative
Simple&Best Simple as reducing brightness  and the only one so far that works with all types of screens and phones. Works with Redmi 2 Prime too..,positive
Was fine till Android Lollipop got installed. Does not turn off my mobile data even when I'm in my home network and connected to my WiFi. Developer should test this app on the new android version.,neutral
Thanks for the hard work! It is awesome!,positive
Nice app all my favorite songs right on my finger tips now.,positive
Once usable Ive used on another device  now i cant setup correctly. Please help.,positive
Doesnt work on s3.,negative
Keep get annoying notification how to stop it,negative
Get most the music I searched for,positive
Sky map Completely awful as the compass had to keep collaborating,negative
Ugh Songs freeze... Can't edit or anything,negative
Great app Been using it for years now....still the best lockscreen,positive
Boooooooooooooooooooooo,negative
Hated it Ganda,negative
Great app It is a great and useful app,positive
Not efficient,neutral
Tefera,positive
It is so difficult,positive
Bad!!!,negative
not at all time nice but sometime slow connection?,positive
"Well it's useful cuz I can find all these cool apps and what-not BUT and this is a big one ....I can use most of my apps cuz """"Google play needs to be updated for this app to run"""" keeps popping up . I got this new app that just finished downloading after almost 2 hours but I cant use it cuz ...wooptidoo! ...I need to update Google play and I also noticed I'm not the only one having these issues ssoooo plz Google play fix this bugg !",negative
Notifications Every time that an app needs updating it notifies me and its awesome,positive
Consumes too much phone storage. Dude  I just use a cheap phone with a small storage size. It consumes too much phone storage when it runs .,negative
Please add icon pack support Great app! I'm missing a feature to support icon packs  would this be possible?,positive
His tekken 6 is awesome,positive
I cant set featured image with this app. Please fix this problem as soon as possible.,neutral
Excellent Just like disk inventory x for osx. Fast and simple with a great ui.,positive
Much needed alternative to the official FB spy app I wish it were easy to open URLs in Tinfoilhat  it would be immensely useful for signing up to connected web sites  comments pages etc,positive
Dies what it says it does. I love the Gmail backup feature.,positive
I Love it . The app has good service and it's easy to use I've found it very useful Strongly recommend it for its good service and it's easy to use . This app is so useful.😊,positive
Left winged duck!!! I was hoping dukdukwent was non-partison  but more left wing than GOOGLE!!!,negative
Great app Is a complete helpful tool,positive
Just the app I was looking for Everything I hope for in an audio book player. Comes with folder filter  dark theme  custom album covers,positive
Varshini,positive
Great minimalistic design  but problem with weather data Keeps showing Very heavy rain almost everytime... Seems be problem of weather provider  is it possible to have another one?,positive
Goole services not opening,negative
Good This is really good ill share this everywhere,positive
Is so good,positive
Rahul khan,positive
T Great works like a charm,positive
Everything you could need for a crossword app. Turning off the red lettered hints hasn't seemed to work for me.,positive
The app is so fun,positive
Loved it so useful,positive
Most of your users are iranian... Have some respect and add persian language. Tnx,positive
Does what it says on the tin I use it to identity wakelocks.,positive
Does exactly what it promises to.,positive
Don't want it just more shite,negative
Absolutely gorgeous Love it all!!,positive
love this terminal,positive
It worked great. The best thing was it didn't require jetpack.,positive
Good Good aje,positive
One of the best I confirm it is👍,positive
Good for wwe 2K16 TRY WWE2K16 IS BESTEST OF BESYEST GAME SEE THIS IN YOUTUBE,positive
5 star Great!,positive
L Nice,positive
removed apps i was olnly capable of disabling prior,positive
Good Everything works fine. Easy to use  no bugs. Thumbs up ^_^,positive
Broken Built-in Bowser in Android 5.1 (cannot select) Got a vk6050s android 5.1 phone & it appears the browse has all the kdbx file types greyed out it has worked great for all my previous older android phones (creating a new one keepass file does work but if i create a 2nd new one I cannot browse the 1st cause its greyed out my guess is that the built-in browser is broken),neutral
It's very good to study about the sky,positive
Too much Dhoom dhdaak,positive
Otimo jogo pena que deu um bug demoniaco no meu cell  apareceu umas paredes do game na tela e não saia do bug. Tive que retirar a bateria do cell...,negative
Camera Awesome,positive
A button for saving article for offline maybe?,neutral
"I observed this app does not back all the messages but flashes """"""""""""""""""""""""""""""""Done"""""""""""""""""""""""""""""""" without taking full backup making some sms lost. Very misleading.""""",negative
Tweaks Galore,positive
Reliable I regularly check the alignment of screen and reality. Accurate in northern and southern hemispheres. Well done and thankyou to the developers.,positive
Almost perfect Works well. If you could search and queue on your phone while watching full screen it would be perfect,positive
It has good features to chat but it is not good for sending videos but the stickers are😗😗😍😍😍,positive
Not possible to change theme Option to change colors would be much appreciated. Not all of us are fond of green,neutral
Very light app,negative
Bakkar Verry.......!,positive
Very nice download this game please it is very interesting game,positive
Balu YouTube contact,positive
Cool It's cool,negative
Awesome! Great job for build this awesome app  better than OpenVPN Connect,positive
Best Only QR & barcode scannnee,positive
Snapchatt,positive
Need to install so many plugins,negative
Does everything I need,positive
Great app Everythings good. Just needs more information. Like on quests  quest prerequisites would be nice.,positive
Mdidi yenu,negative
Love the ap but its being a little glitchly lately,positive
Amazing Whoud be better if i can use custom wallpapers instead of my home screen,positive
4.5 Please add a 3x3 lock or a pin lock! Also can you make the distance you have to swipe shorter... So we don't have to swipe as far for it to unlock!,positive
My husband & I love listening to NPR but can rarely catch it  so for us this app is great,positive
Not getting alerts After reading much appreciations about this app  i installed it. But i do not get the alerts which i have set. Developers please assist.,negative
Updates problem Trying to update it but as soon as I start to do it  it completes the downloading after that my phone hang  plz resolve this issue,negative
Downloading problem I really don't know what's going on because I can't even update play store itself so I'm crying for help.,negative
MANTAB JIWA LANJAY BANGET YUTUBAN COEG,positive
Will not update despite the constant reminders about Apps will not work unless I update Google play services,negative
Great app It does everything i need it to :),positive
Ok Ucok ok,positive
It is very bad program,negative
Great Avoids me having to install a separate extension for every app  and shows each app's notification with an appropriate icon. Very nice.,positive
Great way to do all see things that come to me,positive
Nice Easy to use  would be cool if you could categorise passwords,neutral
Juma cardoso sabonete Sabonete,positive
Great peformance Love it,positive
Easy as Just want access without the overhead. Fit for purpose.,positive
It is awesome because I can watch youtube,positive
Absolutely Fantastic. Rare to find such a good app that too without any advertisements. Great work keep it up,positive
Laggy since overhaul Overall loved the app before update. I have to tap things multiple times now and playing for time is impossible. I have Samsung Galaxy.,positive
"There was nothing quite as edifying as thumbing through an Encyclopedia Britannica. One learned lots of """"stuff"""" randomly and if you got bored  you just let it go and came back to it later and learned more """"stuff"""" randomly. This is not as satisfying as the old E.B. but it'll do.",positive
"High quality and truly free TONS of different puzzles including some new ones (coming from an avid puzzle lover) with built in note taking and random puzzle generation for replayability. No ads. Would like to see a """"""""""""""""""""""""""""""""show mistakes"""""""""""""""""""""""""""""""" button for when you don't want to reveal the whole solution  just see if you've made a mistake yet""""",positive
Download Approved,positive
Super App I really like this app,positive
Just trying Sound like Paris France Transit last album. Like bouth,positive
It sucks like ass,negative
Works ok It would have been nice if the option to schedule allowed to select particular days.,positive
Not better than the original it copies It does exactly the same thing; its just another framer to know your business,negative
unfortunately there is no folder,positive
Pradipsinh,positive
All is well but.... Everything is well in this version but...please add colour text widget in this app. I am not able to write in different colour directly. Please add a button for this...,neutral
I guess I can't really complain but I guess the days of free music downloading is over. I thought this would be good but I got to download 2 songs then it just went dead and won't do anything else.,negative
Finds everything The app finds everything the Google search app does  but this one does not track you. That alone makes this my frequent go to search app.,positive
Great app! Still love it after all these years.,positive
I have some issues with the navigater.,neutral
Great resource Extremely extensive list of rules in easy to seach format.,positive
Great! Play it every day.,positive
The best content app👍👍👏👏👏👍👍. Just awesome.,positive
Useful app Clean interface,positive
Simple to use  effective  elegantly designed  and free! What's not to love? Great work guys 😄,positive
Ok All,positive
Really Greatest app for all kind of competitive studies like UPSC   SSC etc...Love u developers ... Helps completely to get all the study materials for competitive and all kind of studies ... Thanks a lot..,positive
Look good,positive
Great app. Yet very small.,positive
"what a services ! nice ads   super annoying notification   it work well and tell me """"unfortunatly stopped """" and the main think is that it is not inbuilt and dosn't like to download from play store so i suggest you to update it through phone software updates . any problem !@!! -_-",positive
Nizb Fc,positive
"How to enable (gs4) See some questions about this  so I'll try to help you guys out... Go to lock screen settings  set your lock screen to swipe  enable multiple widgets under swipe options  go to lock screen  touch upper section of phone (not very top) and swipe down (a box should appear)  swipe left  touch """"""""""""""""""""""""""""""""+"""""""""""""""""""""""""""""""" button  add widget.""""",positive
Works Once rooted this app does the job of managing and viewing apps that have and request SU permission. Nice.,positive
"Good""""""""""""""""""""""""""""""""""""",positive
Jdb,positive
Me Nice it,positive
Used 6 GB of Data This app used 6.09 GB of data running in the background. I didn't even have it enabled. I know that I should have restricted background data and checked my usage  but there is no reason for a wallpaper app to use such an excess amount of data when not enabled.,negative
Nice app Nice app and really works when needs to check level....,positive
Djdi Sisu,negative
Some apps automatically download itseves please help me to stop,negative
Beautifully simple Like an uncluttered homescreen and this achieves that every time in a beautiful but very effective manner. Would only ask for the ability to change clock/number fonts.,positive
The ideal software experience This app does one thing and does it well. The interface is clean and intuitive. The app opens and closes swiftly. I wish all software could be like this.,positive
Good for training,positive
Ebrahim The best massager application.,positive
Amateur astronomer J. Skeen Really accurate app,positive
Map view requested In the different views available like simple view  log view  etc  Is it possible to add an additional map view so that the markers/trail can be seen directly on the map while logging the coordinates?,positive
Simple and useful. Thanks!,positive
Prema Kartan,positive
Superb 5 star Really beautiful app which is completely diffrent..waiting for next app created by you..,positive
Hassle It keeps on asking updates and when I update it  it keeps on stopping and error occurred,negative
I cant press more than 2 buttons pls tell me how can i fix it,neutral
How to download game here,neutral
Help? Does it need a computer  because if it does  then I will uninstall it  because then it would be bad  because my grandparents will not let me connect to their laptop  or computer  if I get my own laptop  then my grandma won't let me connect to their enternet,negative
I love it but how to game download,positive
I loved it Good stuff,positive
Good but not easy Like but difficulty pointing it to my google apps engine. Any suggestions?,positive
Nice...But too slow,neutral
Need 16:9 ratio photo The app can't shoot 16:9 ratio photo at 12.9 mp but at 9.44 mp.. while other camera apps can do it..but I like it's manual control..hope you will fix it in nxt update😄😄😄,positive
Un peu Je vous donné un étoile parce qu'il y a tand de choses qui ne va pas tel que  le fond écran et autres.,negative
Awesome Music is my life so to find a music downloader like frostwire for my mobile phone I was ecstatic like completely this app is amazing all around is a little slow to seed and find enough peers to start downloading songs I'm searching for other than that this app is absolutely amazing fix the slight download lag but still 5 stars all day every day,positive
Not enough for 5 starts The best app from india. I love this app. Jai Hind,positive
Dumb trash Dis app doesn't even work.......... To all ppl who are thinking off downloading dis app I beg of u its a total scam,negative
Used to have a problem  switched devices and enjoyed it greatly! Problem with emulating sonic adventure  bug won't let me advance but works surprisingly well otherwise. Great emulator.,positive
Greatest gift for my phone,positive
Good NfYzv1ML Simple interface. I would love this product. Thank you very much publishers. I will support,positive
BRILLIANT APP. When used with GREENIFY & BATTERY GRAPH WIDGET PRO. Now I can finally figure out what is causing battery drain. My battery now has 169hrs of standby time with the screen off. Use GREENIFY to hibernate the battery draining apps and BATTERY GRAPH WIDGET PRO to monitor your battery usage on your home screen for up to 48hrs.,positive
Doesn't work well on galaxy s6 It used to work well but it's pretty glitch on controls especiallythe app menu won't stay open at all or even render correctly,positive
Most used app Still excellent,positive
GAMES.,negative
My top 7th fav. Mobile game! I love this game! Its very unique! One of the best retro games I have ever seen! You must download!!!,positive
Brilliant I love this and its easily the best podcast app I have tried.,positive
Lovely Wow,positive
Excellent podcast app; does exactly what I need.,positive
Mark Massal City Massal City,positive
Free? Is all the games in image are free it will be beutiful when its free and in downloadin it,positive
Would be perfect if it made dual SIM icons appear in the correct order  for me it displays SIM 2 left and SIM 1 right. I donated  do you think you can fix that in the future?,positive
Thanks for this Very nice,negative
Hay,positive
Would give six stars if could This is a fabulous program for keeping track of your library. More people should know about this.,positive
Need Updates,positive
I loved it but slow downloading😒😈👎,neutral
BEST UPDATE,positive
Really good but Cant get to settings and no sound please fix. Other than that  best emulator so far,neutral
"Search in preloaded CSV Search criteria: """"""""""""""""""""""""""""""""search(csvName  'startswith'  columnsToSearch  searchText)"""""""""""""""""""""""""""""""" does not work. Show an error 'syntax error in search() function:....'.""""",positive
It's good and very helpful. Many useless apps are present it.,positive
Love loveit Great,positive
Very useful  easy to access,positive
Not good Not good for phones with finger print scanner,negative
The new update to Google Assistant is completely useless... Now on tap was soo good.. the screen search  the shortcuts  the touch on a word to search was so awsome.. plz improve the assistant with the not on tap shortcuts and functions or give us now on tap back!,negative
Google Helpful,positive
Sunill bamniya gl,positive
Was good Was good until yahoo weather got removed. Now it shows nothing for my weather.,negative
Pwet,negative
Please make the app SD card installable,positive
Has not worked properly since the end of January! What happened to this app? All puzzles have disappeared  down to one a day  and my favorites like the LA Times have all gone! Please fix!,negative
Screw this company Telegram is the number one app choice for ISIS. Rather than embrace measures to block the terrorists from using their app  Telegram plays mum.,negative
Always loved this app and always will Thanks for the awesome emulator guys,positive
It keeps crashing.,negative
Bien. Sin actualizaciones desde 2013.,positive
Why my account always public,negative
Good app Is it not supported in android lollipop??,positive
2 Kopbhe,positive
B.L.N Dpr,negative
Thanks google,positive
